TRAINING MODELS: problem = sslp_15_45

       MAE:   tr: 135.430, val: 135.591
       MAPE:  tr: 0.284, val: 0.284
  [470] MSE:   tr: 5845.941, val: 5312.021
       MAE:   tr: 41.883, val: 41.401
       MAPE:  tr: 0.094, val: 0.094
  [480] MSE:   tr: 5368.068, val: 4798.264
       MAE:   tr: 42.260, val: 41.448
       MAPE:  tr: 0.101, val: 0.101
  [490] MSE:   tr: 5549.056, val: 5384.048
       MAE:   tr: 45.283, val: 45.028
       MAPE:  tr: 0.113, val: 0.113
  [500] MSE:   tr: 5280.897, val: 5198.318
       MAE:   tr: 41.491, val: 41.297
       MAPE:  tr: 0.101, val: 0.101
  [510] MSE:   tr: 6366.965, val: 6296.223
       MAE:   tr: 44.918, val: 44.106
       MAPE:  tr: 0.115, val: 0.115
  [520] MSE:   tr: 6555.256, val: 6257.350
       MAE:   tr: 48.604, val: 47.491
       MAPE:  tr: 0.124, val: 0.124
  [530] MSE:   tr: 6102.714, val: 5170.696
       MAE:   tr: 43.520, val: 42.105
       MAPE:  tr: 0.102, val: 0.102
  [540] MSE:   tr: 5540.386, val: 5694.199
       MAE:   tr: 43.439, val: 43.902
       MAPE:  tr: 0.111, val: 0.111
  [550] MSE:   tr: 5575.235, val: 5211.443
       MAE:   tr: 43.625, val: 42.988
       MAPE:  tr: 0.105, val: 0.105
  [560] MSE:   tr: 5540.938, val: 5084.550
       MAE:   tr: 41.193, val: 39.775
       MAPE:  tr: 0.097, val: 0.097
  [570] MSE:   tr: 5589.372, val: 4816.267
       MAE:   tr: 40.579, val: 38.967
       MAPE:  tr: 0.096, val: 0.096
  [580] MSE:   tr: 4952.736, val: 4664.672
       MAE:   tr: 38.524, val: 37.417
       MAPE:  tr: 0.094, val: 0.094
  [590] MSE:   tr: 5327.233, val: 5157.317
       MAE:   tr: 38.600, val: 37.809
       MAPE:  tr: 0.098, val: 0.098
  [600] MSE:   tr: 5101.688, val: 4684.992
       MAE:   tr: 37.255, val: 35.798
       MAPE:  tr: 0.090, val: 0.090
    New Best Model
  [610] MSE:   tr: 5033.347, val: 4815.001
       MAE:   tr: 37.105, val: 36.013
       MAPE:  tr: 0.089, val: 0.089
  [620] MSE:   tr: 5156.233, val: 4525.090
       MAE:   tr: 37.237, val: 35.765
       MAPE:  tr: 0.089, val: 0.089
    New Best Model
  [630] MSE:   tr: 6103.818, val: 5924.446
       MAE:   tr: 47.101, val: 45.329
       MAPE:  tr: 0.115, val: 0.115
  [640] MSE:   tr: 5339.653, val: 4610.229
       MAE:   tr: 40.152, val: 37.952
       MAPE:  tr: 0.096, val: 0.096
  [650] MSE:   tr: 5215.544, val: 4505.440
       MAE:   tr: 39.060, val: 37.302
       MAPE:  tr: 0.095, val: 0.095
  [660] MSE:   tr: 5550.196, val: 4790.561
       MAE:   tr: 37.315, val: 36.024
       MAPE:  tr: 0.085, val: 0.085
  [670] MSE:   tr: 5441.886, val: 5753.416
       MAE:   tr: 35.630, val: 35.702
       MAPE:  tr: 0.081, val: 0.081
    New Best Model
  [680] MSE:   tr: 6747.004, val: 7330.965
       MAE:   tr: 47.191, val: 46.391
       MAPE:  tr: 0.128, val: 0.128
TRAINING MODELS: problem = sslp_15_45

  [10] MSE:   tr: 7128.829, val: 6477.468
       MAE:   tr: 48.232, val: 45.508
       MAPE:  tr: 0.125, val: 0.125
    New Best Model
  [20] MSE:   tr: 5431.896, val: 5155.611
       MAE:   tr: 43.801, val: 43.723
       MAPE:  tr: 0.105, val: 0.105
    New Best Model
  [30] MSE:   tr: 5854.429, val: 5689.122
       MAE:   tr: 42.748, val: 42.424
